id,entry,exit,side,level,ema,pattern,qty,entry_px,exit_px,pnl,reason,symbol,capital_before,capital_after,leverage,margin_mode,stop_loss_usd,target_usd
T-20250812-001,2025-08-12 19:04:00,2025-08-12 19:06:00,BUY,58200.0,58140.2,DOJI→RED,3.0,58235.0,58128.4,-100.0,SL_HIT_ON_CLOSE,BTC/USDT:USDT,10000.0,9900.0,13,ISOLATED,100.0,450.0
T-20250819-002,2025-08-19 20:11:00,2025-08-19 20:14:00,SELL,59150.0,59210.5,GREEN→RED,3.0,59120.0,59205.8,-100.0,SL_HIT_ON_CLOSE,BTC/USDT:USDT,9900.0,9800.0,13,ISOLATED,100.0,450.0
T-20250826-003,2025-08-26 18:47:00,2025-08-26 18:52:00,BUY,57800.0,57755.0,RED→GREEN,2.94,57842.0,57998.6,450.0,TARGET_HIT_ON_CLOSE,BTC/USDT:USDT,9800.0,10250.0,13,ISOLATED,100.0,450.0
T-20250903-004,2025-09-03 19:22:00,2025-09-03 19:24:00,SELL,60100.0,60180.0,DOJI→GREEN,3.02,60085.0,60172.3,-100.0,SL_HIT_ON_CLOSE,BTC/USDT:USDT,10250.0,10150.0,13,ISOLATED,100.0,450.0
T-20250911-005,2025-09-11 20:05:00,2025-09-11 20:08:00,BUY,59400.0,59320.0,GREEN→RED,2.98,59455.0,59608.2,450.0,TARGET_HIT_ON_CLOSE,BTC/USDT:USDT,10150.0,10600.0,13,ISOLATED,100.0,450.0
T-20250918-006,2025-09-18 18:55:00,2025-09-18 18:57:00,SELL,61200.0,61290.0,RED→GREEN,3.05,61180.0,61265.0,-100.0,SL_HIT_ON_CLOSE,BTC/USDT:USDT,10600.0,10500.0,13,ISOLATED,100.0,450.0
T-20250925-007,2025-09-25 19:38:00,2025-09-25 19:41:00,SELL,60850.0,60920.0,DOJI→GREEN,3.0,60830.0,60712.5,450.0,TARGET_HIT_ON_CLOSE,BTC/USDT:USDT,10500.0,10950.0,13,ISOLATED,100.0,450.0
T-20251002-008,2025-10-02 20:19:00,2025-10-02 20:21:00,BUY,62100.0,62040.0,RED→GREEN,3.12,62145.0,62048.0,-100.0,SL_HIT_ON_CLOSE,BTC/USDT:USDT,10950.0,10850.0,13,ISOLATED,100.0,450.0
T-20251014-009,2025-10-14 18:42:00,2025-10-14 18:45:00,SELL,63400.0,63480.0,GREEN→RED,3.08,63370.0,63455.0,-100.0,SL_HIT_ON_CLOSE,BTC/USDT:USDT,10850.0,10750.0,13,ISOLATED,100.0,450.0
T-20251022-010,2025-10-22 19:15:00,2025-10-22 19:18:00,BUY,62800.0,62720.0,DOJI→RED,3.05,62860.0,62765.0,-100.0,SL_HIT_ON_CLOSE,BTC/USDT:USDT,10750.0,10650.0,13,ISOLATED,100.0,450.0
